sample,overall_alignment_rate(%)
ERR2162200,87.85
ERR2162201,85.06
ERR2162202,84.25
ERR2162203,84.08
ERR2162204,84.27
ERR2162205,83.65
ERR2162206,86.24
ERR2162207,87.94
ERR2162208,81.21
ERR2162209,89.83
ERR2162210,86.94
ERR2162211,87.23
ERR2162212,82.08
ERR2162213,86.66
ERR2162214,88.68
ERR2162215,82.44
ERR2162216,85.23
ERR2162217,84.00
ERR2162218,83.43
ERR2162219,84.42
ERR2162220,84.55
ERR2162221,82.13
ERR2162222,85.71
ERR2162223,82.38
ERR2162224,76.04
SRR5930493,81.05
SRR5930501,81.12
SRR5930510,81.17
SRR5930511,76.73
SRR5930512,81.63
SRR5930513,78.62
SRR5930514,78.60
SRR5930515,81.77
SRR5930517,81.73
SRR5930521,82.88
SRR5930522,78.02
SRR5930523,79.17
SRR5930533,78.64
SRR593053,78.73
subSRR5930494,78.12
subSRR5930495,81.67
subSRR5930497,81.40
subSRR5930498,81.28
subSRR5930499,82.37
subSRR5930502,85.51
subSRR5930503,80.23
subSRR5930504,83.74
subSRR5930505,82.27
subSRR5930506,79.43
subSRR5930507,81.57
subSRR5930508,78.72
subSRR5930509,84.66
subSRR5930516,82.29
subSRR5930518,83.86
subSRR5930519,83.17
subSRR5930520,82.69
subSRR5930526,83.11
subSRR5930527,81.34
subSRR5930528,75.04
subSRR5930529,82.68
subSRR5930530,82.84
subSRR5930531,83.40
subSRR5930532,80.45
subSRR5930536,81.98
SRR9033716,88.81
SRR9033718,75.59
SRR9033719,83.48
SRR9033722,83.25
SRR9033723,86.86
SRR9033724,84.20
SRR9033725,80.60
SRR9033727,86.84
SRR9033737,81.97
SRR9033738,81.21
SRR9033742,86.30
SRR9033743,84.06
SRR9033745,82.62
SRR9033749,84.38
SRR9033750,81.99
SRR9033751,84.75
SRR9033752,83.56
SRR9033753,80.13
SRR9033754,85.61
SRR9033760,85.48
subSRR9033715,88.37
subSRR9033720,85.49
subSRR9033721,86.72
subSRR9033732,83.84
subSRR9033746,84.47
subSRR9033747,83.37
subSRR9033748,90.98
SRR6000870,87.61
SRR6000871,88.36
SRR6000873,82.94
SRR6000874,86.32
SRR6000878,81.84
SRR6000890,86.71
SRR6000891,85.29
SRR6000893,80.93
SRR6000894,86.35
SRR6000900,87.50
SRR6000902,85.19
SRR6000903,85.21
SRR6000906,85.61
SRR6000907,71.10
SRR6000908,85.42
SRR6000910,86.23
SRR6000911,81.51
SRR6000912,78.37
SRR6000921,80.14
SRR6000932,79.82
SRR6000940,83.82
SRR6000942,83.87
SRR6000945,84.02
SRR6000946,84.21
subSRR6000869,69.96
subSRR6000877,80.57
subSRR6000892,79.90
subSRR6000895,84.27
subSRR6000896,86.55
subSRR6000899,85.27
subSRR6000901,86.77
subSRR6000905,84.18
subSRR6000909,78.80
subSRR6000920,83.21
subSRR6000931,88.06
subSRR6000943,82.27
subSRR6000944,82.69
subSRR6000947,71.76
subSRR6000949,74.29
