sample,count
ERR2162200,12218850
ERR2162201,13915379
ERR2162202,20811206
ERR2162203,8707004
ERR2162204,8062796
ERR2162205,21611631
ERR2162206,13495720
ERR2162207,8930763
ERR2162208,18975030
ERR2162209,20003814
ERR2162210,14329382
ERR2162211,19720388
ERR2162212,19115350
ERR2162213,20138566
ERR2162214,15317970
ERR2162215,18230250
ERR2162216,21512323
ERR2162217,13530622
ERR2162218,12942644
ERR2162219,16321723
ERR2162220,17305526
ERR2162221,18974214
ERR2162222,13311908
ERR2162223,13404970
ERR2162224,17285083
SRR5930493,34813314
SRR5930501,34226516
SRR5930510,26224014
SRR5930511,33350876
SRR5930512,26953605
SRR5930513,18063034
SRR5930514,30125266
SRR5930515,25522888
SRR5930517,31244760
SRR5930521,30711722
SRR5930522,28497074
SRR5930523,30088339
SRR5930533,34769685
SRR5930534,35093635
subSRR5930494,40000000
subSRR5930495,40000000
subSRR5930497,40000000
subSRR5930498,40000000
subSRR5930499,40000000
subSRR5930502,40000000
subSRR5930503,40000000
subSRR5930504,40000000
subSRR5930505,40000000
subSRR5930506,40000000
subSRR5930507,40000000
subSRR5930508,40000000
subSRR5930509,40000000
subSRR5930516,40000000
subSRR5930518,40000000
subSRR5930519,40000000
subSRR5930520,40000000
subSRR5930526,40000000
subSRR5930527,40000000
subSRR5930528,40000000
subSRR5930529,40000000
subSRR5930530,40000000
subSRR5930531,40000000
subSRR5930532,40000000
subSRR5930536,40000000
SRR9033716,22318690
SRR9033718,13467250
SRR9033719,19274434
SRR9033722,34909879
SRR9033723,15705126
SRR9033724,19790452
SRR9033725,25012765
SRR9033727,22572387
SRR9033737,27235606
SRR9033738,10844337
SRR9033742,22270003
SRR9033743,23877506
SRR9033745,37110604
SRR9033749,17835071
SRR9033750,11349270
SRR9033751,31514398
SRR9033752,18346526
SRR9033753,10534023
SRR9033754,8929213
SRR9033760,13903592
subSRR9033715,40000000
subSRR9033720,40000000
subSRR9033721,40000000
subSRR9033732,40000000
subSRR9033746,40000000
subSRR9033747,40000000
subSRR9033748,40000000
SRR6000870,30501274
SRR6000871,26584140
SRR6000873,20596698
SRR6000874,31317498
SRR6000878,34911371
SRR6000890,19296864
SRR6000891,23222785
SRR6000893,20645015
SRR6000894,36525677
SRR6000900,27788897
SRR6000902,29347636
SRR6000903,23654066
SRR6000906,38952616
SRR6000907,33944313
SRR6000908,27032784
SRR6000910,35649629
SRR6000911,31825812
SRR6000912,39285089
SRR6000921,32248213
SRR6000932,20442027
SRR6000940,38572260
SRR6000942,20922380
SRR6000945,24057925
SRR6000946,22899767
subSRR6000869,40000000
subSRR6000877,40000000
subSRR6000892,40000000
subSRR6000895,40000000
subSRR6000896,40000000
subSRR6000899,40000000
subSRR6000901,40000000
subSRR6000905,40000000
subSRR6000909,40000000
subSRR6000920,40000000
subSRR6000931,40000000
subSRR6000943,40000000
subSRR6000944,40000000
subSRR6000947,40000000
subSRR6000949,40000000
