genome,completeness,contamination
SRR9033737_bin.25.fa,89.91,2.419
SRR6000878_bin.5.fa,100,0
subSRR5930528_bin.31.fa,100,0
SRR6000873_bin.25.fa,97.79,0.471
SRR6000906_bin.64.fa,90.59,1.709
subSRR5930528_bin.23.fa,90.4,1.709
subSRR5930519_bin.25.fa,88.88,0.854
ERR2162221_bin.29.fa,80.15,2.402
subSRR6000905_bin.52.fa,89.74,0.854
ERR2162220_bin.8.fa,91.45,0.854
SRR6000906_bin.28.fa,90.59,0.854
subSRR5930503_bin.56.fa,88.88,0.284
SRR6000911_bin.5.fa,87.02,0.55
SRR5930510_bin.8.fa,81.99,1.829
subSRR5930519_bin.34.fa,100,1.123
SRR6000871_bin.11.fa,98.13,0.621
subSRR5930497_bin.39.fa,91.43,1.406
subSRR5930503_bin.17.fa,97.33,0.111
SRR5930517_bin.34.fa,98.58,0
subSRR5930520_bin.22.fa,98.58,0
subSRR5930516_bin.25.fa,95.27,0
SRR5930514_bin.30.fa,100,0
subSRR6000892_bin.52.fa,100,0
subSRR5930506_bin.24.fa,95.03,0
subSRR6000947_bin.39.fa,99.29,0
subSRR5930499_bin.14.fa,99.29,0
subSRR5930532_bin.35.fa,99.29,0
SRR9033722_bin.16.fa,78.04,1.241
subSRR5930494_bin.34.fa,93.71,0.531
subSRR6000943_bin.16.fa,99.96,0.037
SRR6000874_bin.28.fa,99.96,0.037
subSRR6000920_bin.10.fa,99.89,0.186
SRR6000912_bin.1.fa,99.96,0.074
ERR2162224_bin.15.fa,98.99,1.986
SRR5930493_bin.37.fa,99.47,0.053
SRR5930533_bin.22.fa,99.4,0.4
SRR5930512_bin.26.fa,77.39,9.122
SRR6000940_bin.19.fa,99.29,0.709
SRR5930522_bin.27.fa,92.19,1.773
subSRR6000909_bin.16.fa,98.22,0.354
subSRR5930528_bin.58.fa,82,3.333
subSRR6000892_bin.48.fa,93.66,1.861
subSRR5930506_bin.17.fa,85.44,1.085
subSRR9033748_bin.4.fa,99.86,0.446
SRR6000932_bin.45.fa,98.75,0.625
subSRR6000895_bin.35.fa,98.75,0.625
subSRR5930520_bin.20.fa,98.75,0
SRR9033751_bin.12.fa,88.64,3.562
SRR5930493_bin.43.fa,94.45,2.611
subSRR6000896_bin.18.fa,100,0
SRR6000891_bin.28.fa,100,0
SRR5930523_bin.22.fa,82.46,1.302
subSRR5930530_bin.15.fa,100,0.668
SRR6000906_bin.15.fa,76.96,9.194
ERR2162224_bin.9.fa,98.02,1.875
SRR6000908_bin.11.fa,97.39,1.25
SRR9033719_bin.10.fa,98.02,1.25
SRR6000890_bin.25.fa,96.77,1.25
subSRR5930519_bin.7.fa,98.13,0.621
subSRR6000931_bin.29.fa,95.8,1.397
subSRR9033715_bin.2.fa,99.37,0.414
subSRR9033721_bin.26.fa,100,0
SRR9033727_bin.10.fa,98.12,0.034
SRR9033722_bin.33.fa,89.51,1.891
SRR9033745_bin.15.fa,77.47,1.092
subSRR6000896_bin.13.fa,97.98,0.671
subSRR6000947_bin.28.fa,93.04,0
ERR2162212_bin.7.fa,78.31,1.342
subSRR6000892_bin.64.fa,88.86,1.7
subSRR5930506_bin.15.fa,95.97,4.026
ERR2162206_bin.6.fa,86.91,0
SRR6000907_bin.21.fa,98.73,0
SRR9033760_bin.15.fa,79.1,2.742
subSRR5930518_bin.19.fa,98.1,2.531
ERR2162202_bin.6.fa,99.36,0
ERR2162211_bin.14.fa,91.81,0.421
subSRR5930504_bin.29.fa,98.83,0
SRR9033727_bin.1.fa,90.67,0.843
subSRR5930536_bin.14.fa,86.99,0.632
subSRR5930529_bin.16.fa,93.92,0.632
SRR6000908_bin.2.fa,98.73,0.019
SRR5930522_bin.10.fa,99.36,0.316
subSRR5930508_bin.17.fa,79.47,2.531
subSRR6000877_bin.6.fa,98.1,0
SRR5930517_bin.31.fa,88.83,0.632
subSRR5930506_bin.18.fa,96.64,0
subSRR5930499_bin.20.fa,95.25,0.158
subSRR5930528_bin.50.fa,98.73,0.126
subSRR5930528_bin.44.fa,83.8,1.898
subSRR5930519_bin.18.fa,91.78,0
subSRR5930528_bin.61.fa,94.74,0.112
subSRR5930495_bin.12.fa,98.75,0
SRR5930522_bin.25.fa,84.83,0.423
ERR2162202_bin.7.fa,81.35,1.898
subSRR6000905_bin.7.fa,95.35,0
subSRR9033720_bin.11.fa,97.15,0.632
subSRR5930526_bin.9.fa,96.78,0
SRR6000894_bin.24.fa,81.63,1.265
SRR5930510_bin.14.fa,95.56,2.215
subSRR5930505_bin.2.fa,75.23,4.63
SRR6000907_bin.42.fa,96.54,0.949
subSRR5930497_bin.43.fa,98.73,0.949
subSRR5930526_bin.14.fa,78.94,0
subSRR5930503_bin.18.fa,96.2,2.215
SRR5930514_bin.31.fa,99.19,1.075
SRR6000946_bin.24.fa,99.19,1.747
SRR5930515_bin.20.fa,88.08,1.461
subSRR5930494_bin.29.fa,95.7,4.152
subSRR5930498_bin.12.fa,97.37,0.643
subSRR5930519_bin.21.fa,95.97,0.439
subSRR5930531_bin.18.fa,79.11,0.862
SRR9033743_bin.4.fa,98.08,0.191
subSRR6000920_bin.23.fa,98.08,0.191
subSRR5930504_bin.58.fa,96.28,0.191
subSRR9033720_bin.7.fa,99.2,0.019
SRR6000874_bin.24.fa,98.94,0.632
SRR5930510_bin.20.fa,98.94,0.632
SRR6000932_bin.52.fa,89.47,1.169
SRR6000907_bin.29.fa,91.22,1.461
subSRR5930499_bin.4.fa,98.53,0
SRR5930517_bin.3.fa,98.83,0.025
subSRR5930509_bin.2.fa,84.82,0.487
subSRR6000909_bin.20.fa,99.51,1.449
SRR9033745_bin.3.fa,78.03,6.541
subSRR5930526_bin.3.fa,99.51,1.932
SRR5930511_bin.21.fa,93.71,1.932
subSRR5930507_bin.9.fa,95.45,1.497
SRR6000921_bin.13.fa,97.42,2.028
subSRR5930503_bin.29.fa,98.73,1.107
SRR9033738_bin.9.fa,90.49,0.671
